,ProductID,Initial Price,Best Price,Best Profit,Method
0,12,1963.1,2392.3520139258962,[824181.43469563],GradiantMethods_PriceAndDemand
1,27,3939.6,4489.578908356647,[568850.64848658],GradiantMethods_PriceAndDemand
2,16,1775.5,940.0835455306083,[5569370.19571888],GradiantMethods_PriceAndDemand
3,23,2324.9,1928.122446476919,[965092.28120775],GradiantMethods_PriceAndDemand
4,26,1822.4,1945.566290890986,[258816.9657907],GradiantMethods_PriceAndDemand
5,1,1038.5,625.1071967649087,[718984.00190712],GradiantMethods_PriceAndDemand
6,5,1192.6,671.755382551949,[1902269.73811421],GradiantMethods_PriceAndDemand
7,46,1815.7,2997.1173194796474,[484560.66815131],GradiantMethods_PriceAndDemand
8,47,3879.3,3097.415883501891,[1323467.34342858],GradiantMethods_PriceAndDemand
9,13,1956.4,1430.302452780167,[1326725.41179909],GradiantMethods_PriceAndDemand
10,38,201.0,163.85031482160554,[76632.93940363],GradiantMethods_PriceAndDemand
11,40,6277.9,9985.863479910076,[4415753.70268998],GradiantMethods_PriceAndDemand
12,39,1051.9,781.5741424511881,[527243.58822852],GradiantMethods_PriceAndDemand
13,32,254.6,851.9433395264846,[102441.80889612],GradiantMethods_PriceAndDemand
14,6,3932.9,4433.563719975813,[569198.5781366],GradiantMethods_PriceAndDemand
15,25,1112.2,884.8776482938415,[446957.55572904],GradiantMethods_PriceAndDemand
16,3,984.9,1009.1277585148617,[451623.33950945],GradiantMethods_PriceAndDemand
17,20,5581.1,7579.492844691371,[1630310.91032155],GradiantMethods_PriceAndDemand
18,24,3095.4,2644.9794180123213,[1052185.17091035],GradiantMethods_PriceAndDemand
19,33,2278.0,2461.607223698035,[375571.39515715],GradiantMethods_PriceAndDemand
20,35,3979.8,5165.291042566173,[906856.95146592],GradiantMethods_PriceAndDemand
21,15,1969.8,1419.8083159963953,[843407.56527588],GradiantMethods_PriceAndDemand
22,36,3999.9,3549.8342348354113,[1088803.95348305],GradiantMethods_PriceAndDemand
23,37,5976.4,3537.58305785112,[5365474.9473039],GradiantMethods_PriceAndDemand
24,14,5735.2,12747.34826503435,[6107485.55934008],GradiantMethods_PriceAndDemand
25,7,3919.5,5201.367861728336,[1538724.15217469],GradiantMethods_PriceAndDemand
26,17,998.3,2669.500648733673,[609329.75020563],GradiantMethods_PriceAndDemand
27,2,2405.3,2376.123092120259,[670075.22142156],GradiantMethods_PriceAndDemand
28,34,2452.2,2591.914218511075,[641767.52078496],GradiantMethods_PriceAndDemand
29,11,3095.4,2735.15682976564,[939920.69120617],GradiantMethods_PriceAndDemand
30,8,3865.9,2872.5933530440398,[2076641.3466165],GradiantMethods_PriceAndDemand
31,44,2278.0,3421.021015810806,[450973.64819227],GradiantMethods_PriceAndDemand
32,22,924.6,819.6735195447999,[301013.33454487],GradiantMethods_PriceAndDemand
33,4,2257.9,1710.188174410307,[1218119.58363499],GradiantMethods_PriceAndDemand
34,45,3557.7,5797.58439959257,[1913559.93220885],GradiantMethods_PriceAndDemand
35,21,3477.3,2260.917642060161,[2101131.89034255],GradiantMethods_PriceAndDemand
36,10,227.8,144.2262798874576,[165392.35310968],GradiantMethods_PriceAndDemand
37,28,234.5,177.26855786588047,[109109.68721514],GradiantMethods_PriceAndDemand
38,29,4006.6,4878.122023782098,[1062957.60222669],GradiantMethods_PriceAndDemand
39,18,3182.5,4798.154971442708,[1075722.94762753],GradiantMethods_PriceAndDemand
40,30,891.1,2576.4609745901785,[518415.58204711],GradiantMethods_PriceAndDemand
41,31,3892.7,3152.812049897729,[1553324.33486105],GradiantMethods_PriceAndDemand
42,43,1152.4,883.2015340741242,[495071.14356082],GradiantMethods_PriceAndDemand
43,9,5058.5,4710.579620840544,[1166199.83868766],GradiantMethods_PriceAndDemand
44,41,891.1,1192.7643377907127,[198691.48402823],GradiantMethods_PriceAndDemand
45,19,6324.8,5269.4706961160055,[2018679.80536721],GradiantMethods_PriceAndDemand
46,42,1996.6,1689.5554695591552,[500300.22271025],GradiantMethods_PriceAndDemand
